hedger_model,mean_pnl,std_pnl,skew,kurtosis,VaR95_loss,CVaR95_loss,VaR99_loss,CVaR99_loss,max_loss,max_gain
BS,-3.7760664296423774,220.77582837977673,-9.923612263922887,155.61160969986835,255.31258735679472,578.3929116332428,586.0615862916086,1474.9859448194843,5384.541443397442,223.45305043218195
Merton,-5.777026322062411,243.17415453631384,-9.312895082537384,136.63893707163172,293.5158547409585,646.0122930442705,647.8807819642313,1619.211178973881,5356.602325211507,212.17239338994386
Heston,-2.881891116686265,259.19134529289914,-8.400359944881025,113.50247303724306,327.7201111692972,693.4234340529921,683.3248570713764,1704.9522986622885,5169.68586398237,213.83469102097934
Bates,-1.6408218935684378,256.66211581906646,-8.463570999101439,114.99102092895957,321.585365653464,684.5654332664536,670.8097947270508,1689.3749536238874,5203.67441152779,216.60752280370707
